,No.,Activity / Attraction,Category,Postcode,District/Borough,City,Latitude,Longitude,Cat1,Cat2,Popularity
32,33,Walton Well Drinking Fountain,tourism:attraction,OX2 6EE,Osney,Oxford,51.7622249,-1.2699357,tourism,attraction,3
33,34,New Marston (South) Residents Association,tourism:information,OX3 0HF,New Marston,Oxford,51.7616074,-1.2415033,tourism,information,4
34,35,Marks & Spencer,shop:department_store,OX1 1AB,City Centre,Oxford,51.7513171,-1.2588846,shop,department_store,5
35,36,Waterstones,shop:books,OX1 1EP,City Centre,Oxford,51.7515102,-1.2593919,shop,books,5
36,37,Shotover Country Park Map,tourism:information,OX3 8GH,Forest Hill with Shotover,South Oxfordshire,51.7516194,-1.1846753,tourism,information,4
37,38,Littlemore Library,amenity:library,OX4 6JS,Littlemore,Oxford,51.7225871,-1.2158025,amenity,library,5
38,39,Site of Headington Union Workhouse,historic:workhouse,OX3 8BB,Headington,Oxford,51.7619328,-1.2015447,historic,workhouse,5
39,40,J.R.R. Tolkien,historic:memorial,OX2 6UH,North Oxford,Oxford,51.771051,-1.2602266,historic,memorial,3
40,41,Blue Plaque - Niradc. Chaudhuri,historic:memorial,OX2 7AU,North Oxford,Oxford,51.7725127,-1.2657186,historic,memorial,5
41,42,Paul Nash,historic:memorial,OX2 7AL,North Oxford,Oxford,51.7704346,-1.2620362,historic,memorial,4
42,43,Sir Francis Simon,historic:memorial,OX2 6UZ,North Oxford,Oxford,51.7722195,-1.2600698,historic,memorial,5
43,44,Sir James Murray,historic:memorial,OX2 6JT,North Oxford,Oxford,51.7676184,-1.2614829,historic,memorial,2
44,45,Roger Bannister,historic:memorial,OX4 1EF,East Oxford,Oxford,51.7470889,-1.2416385,historic,memorial,5
45,46,William Morris,historic:memorial,OX4 1EX,East Oxford,Oxford,51.746445,-1.2390633,historic,memorial,1
46,47,The First Superconducting Magnet for MRI Scanning,historic:memorial,OX2 0ES,Osney,Oxford,51.7480937,-1.2728862,historic,memorial,3
47,48,Inorganic Chemistry Laboratory,historic:memorial,OX1 3AN,City Centre,Oxford,51.7580476,-1.2549223,historic,memorial,5
48,49,Glucose Sensor,historic:memorial,OX1 3AN,City Centre,Oxford,51.7580476,-1.2549223,historic,memorial,1
49,50,Jane Burden,historic:memorial,OX1 3BL,City Centre,Oxford,51.7546925,-1.2532851,historic,memorial,1
50,51,The Oxfordshire Yeomanry,historic:memorial,OX1 3JB,City Centre,Oxford,51.7530009,-1.2584746,historic,memorial,3
51,52,Bodleian Library Ticket office,tourism:attraction,OX1 3BW,City Centre,Oxford,51.7541058,-1.2540648,tourism,attraction,4
52,53,Whitley V Aircraft Crash Memorial Plaque,historic:memorial,OX2 6UD,North Oxford,Oxford,51.7711735,-1.2556037,historic,memorial,3
53,54,Dyson Perrins Laboratory,historic:memorial,OX1 3AN,City Centre,Oxford,51.7584268,-1.253599,historic,memorial,3
