,No.,Activity / Attraction,Category,Postcode,District/Borough,City,Latitude,Longitude,Cat1,Cat2,Popularity
105,106,Balliol College Library,amenity:library,OX1 3AJ,City Centre,Oxford,51.7545486,-1.2577527,amenity,library,5
106,107,Keble College Library,amenity:library,OX1 3PG,City Centre,Oxford,51.7587616,-1.2576534,amenity,library,5
107,108,JRR Tolkien,historic:memorial,OX3 7RL,Headington,Oxford,51.7626828,-1.221365,historic,memorial,3
108,109,Cowley Barracks,historic:memorial,OX4 2PS,Cowley,Oxford,51.7417349,-1.2031956,historic,memorial,5
109,110,Ripon Hall,historic:memorial,OX1 5ET,Oxfordshire,Vale of White Horse,51.7155637,-1.2911846,historic,memorial,1
110,111,Founders Opening Stone,historic:memorial,OX4 2BH,Cowley,Oxford,51.7307677,-1.2071355,historic,memorial,3
111,112,Radcliffe Science Library,amenity:library,OX1 3QP,City Centre,Oxford,51.7580264,-1.2561185,amenity,library,3
112,113,Kuwait Library,amenity:library,OX3 0EH,New Marston,Oxford,51.755939,-1.2365385,amenity,library,4
113,114,John Moussouris Library,amenity:library,OX1 2LF,City Centre,Oxford,51.7562956,-1.2611479,amenity,library,1
114,115,Bruce Naylor,historic:memorial,OX1 3BN,City Centre,Oxford,51.7555801,-1.2533469,historic,memorial,5
115,116,Genetic Garden,leisure:garden,OX1 3QY,City Centre,Oxford,51.7601021,-1.2553516,leisure,garden,2
116,117,Gandhi Plaque,historic:memorial,OX1 3AQ,Osney,Oxford,51.7606852,-1.2584383,historic,memorial,4
117,118,Ark-T @ The Venue,amenity:arts_centre,OX4 3RQ,Cowley,Oxford,51.7319595,-1.2143211,amenity,arts_centre,4
118,119,Starting Ring,historic:memorial,OX4 4EL,Iffley,Oxford,51.729969,-1.2403593,historic,memorial,3
119,120,Oxford Canoe and Kayak Club,leisure:sports_centre,OX4 4AZ,East Oxford,Oxford,51.7364405,-1.2412256,leisure,sports_centre,5
120,121,Isis Canoe Club,leisure:sports_centre,OX4 4AZ,East Oxford,Oxford,51.7372126,-1.2420103,leisure,sports_centre,2
121,122,St Antony's College Library,amenity:library,OX2 6NB,North Oxford,Oxford,51.7628904,-1.2628296,amenity,library,4
